Command line
python /home/andersonxps/anaconda3/envs/lnp_ml/bin/chemprop_train --dataset_type regression --data_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train.csv --features_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train_extra_x.csv --data_weights_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train_weights.csv --separate_val_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test.csv --separate_val_features_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test_extra_x.csv --separate_test_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test.csv --separate_test_features_path compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test_extra_x.csv --save_dir compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/trained_model_checkpoints --target_columns Experiment_value
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': 'compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train.csv',
 'data_weights_path': 'compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train_weights.csv',
 'dataset_type': 'regression',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 30,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': [],
 'features_generator': None,
 'features_only': False,
 'features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/train_extra_x.csv'],
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'ignore_nan_metrics': False,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'mse',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'rmse',
 'metrics': ['rmse'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 3,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quantile_loss_alpha': 0.1,
 'quantiles': [],
 'quiet': False,
 'reaction': False,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': 'compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/trained_model_checkpoints',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test_extra_x.csv'],
 'separate_test_path': 'compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test_extra_x.csv'],
 'separate_val_path': 'compare_DL_models/heldout/lion_lnpdb/infer_LM_2019/cv_splits/cv_0/test.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['IL_SMILES'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['Experiment_value'],
 'target_weights': None,
 'task_names': ['Experiment_value'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': True,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 14,125 | train size = 14,125 | val size = 3,605 | test size = 3,605
Fitting scaler
Building model 0
MoleculeModel(
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=433, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=392, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 382,801
Moving model to cuda
Epoch 0
Loss = 1.4009e+00, PNorm = 34.6022, GNorm = 4.0939, lr_0 = 1.1755e-04
Loss = 1.3608e+00, PNorm = 34.6016, GNorm = 5.1286, lr_0 = 1.3351e-04
Loss = 1.0567e+00, PNorm = 34.6015, GNorm = 3.6390, lr_0 = 1.4947e-04
Loss = 9.8721e-01, PNorm = 34.6014, GNorm = 4.9135, lr_0 = 1.6543e-04
Loss = 1.0463e+00, PNorm = 34.6020, GNorm = 8.0337, lr_0 = 1.8138e-04
Loss = 8.9968e-01, PNorm = 34.6032, GNorm = 6.0622, lr_0 = 1.9734e-04
Loss = 1.1084e+00, PNorm = 34.6057, GNorm = 3.4831, lr_0 = 2.1330e-04
Loss = 9.3198e-01, PNorm = 34.6083, GNorm = 3.5519, lr_0 = 2.2926e-04
Loss = 1.0205e+00, PNorm = 34.6106, GNorm = 5.2028, lr_0 = 2.4521e-04
Loss = 1.0553e+00, PNorm = 34.6129, GNorm = 2.8780, lr_0 = 2.6117e-04
Loss = 9.1473e-01, PNorm = 34.6160, GNorm = 2.5449, lr_0 = 2.7713e-04
Loss = 9.0766e-01, PNorm = 34.6188, GNorm = 1.8742, lr_0 = 2.9309e-04
Loss = 1.2722e+00, PNorm = 34.6203, GNorm = 3.9089, lr_0 = 3.0904e-04
Loss = 1.0016e+00, PNorm = 34.6220, GNorm = 5.7483, lr_0 = 3.2500e-04
Loss = 8.8898e-01, PNorm = 34.6260, GNorm = 2.4937, lr_0 = 3.4096e-04
Loss = 1.1157e+00, PNorm = 34.6329, GNorm = 2.5169, lr_0 = 3.5691e-04
Loss = 1.0594e+00, PNorm = 34.6380, GNorm = 3.7154, lr_0 = 3.7287e-04
Loss = 1.1640e+00, PNorm = 34.6395, GNorm = 3.4375, lr_0 = 3.8883e-04
Loss = 9.8107e-01, PNorm = 34.6420, GNorm = 3.1607, lr_0 = 4.0479e-04
Loss = 1.0167e+00, PNorm = 34.6483, GNorm = 11.8833, lr_0 = 4.2074e-04
Loss = 9.0939e-01, PNorm = 34.6547, GNorm = 2.6293, lr_0 = 4.3670e-04
Loss = 1.0004e+00, PNorm = 34.6604, GNorm = 3.0034, lr_0 = 4.5266e-04
Loss = 1.0668e+00, PNorm = 34.6679, GNorm = 4.3439, lr_0 = 4.6862e-04
Loss = 1.0004e+00, PNorm = 34.6748, GNorm = 1.9378, lr_0 = 4.8457e-04
Loss = 1.2464e+00, PNorm = 34.6804, GNorm = 9.2892, lr_0 = 5.0053e-04
Loss = 9.2832e-01, PNorm = 34.6895, GNorm = 3.7790, lr_0 = 5.1649e-04
Loss = 1.2294e+00, PNorm = 34.6934, GNorm = 51.8379, lr_0 = 5.3245e-04
Loss = 8.3463e-01, PNorm = 34.6992, GNorm = 3.2180, lr_0 = 5.4840e-04
Validation rmse = 1.070853
Epoch 1
Loss = 9.7998e-01, PNorm = 34.7087, GNorm = 4.5150, lr_0 = 5.6596e-04
Loss = 1.0639e+00, PNorm = 34.7160, GNorm = 3.0408, lr_0 = 5.8191e-04
