Command line
python /home/andersonxps/anaconda3/envs/lnp_ml/bin/chemprop_train --dataset_type regression --data_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train.csv --features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train_extra_x.csv --data_weights_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train_weights.csv --separate_val_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test.csv --separate_val_features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test_extra_x.csv --separate_test_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test.csv --separate_test_features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test_extra_x.csv --save_dir compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/trained_model_checkpoints --target_columns Experiment_value
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train.csv',
 'data_weights_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train_weights.csv',
 'dataset_type': 'regression',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 30,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': [],
 'features_generator': None,
 'features_only': False,
 'features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/train_extra_x.csv'],
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'ignore_nan_metrics': False,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'mse',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'rmse',
 'metrics': ['rmse'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 3,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quantile_loss_alpha': 0.1,
 'quantiles': [],
 'quiet': False,
 'reaction': False,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/trained_model_checkpoints',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test_extra_x.csv'],
 'separate_test_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test_extra_x.csv'],
 'separate_val_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_2/test.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['IL_SMILES'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['Experiment_value'],
 'target_weights': None,
 'task_names': ['Experiment_value'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': True,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 15,311 | train size = 15,311 | val size = 3,456 | test size = 3,456
Fitting scaler
Building model 0
MoleculeModel(
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=433, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=392, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 382,801
Moving model to cuda
Epoch 0
Loss = 1.2342e+00, PNorm = 34.6026, GNorm = 4.6834, lr_0 = 1.1618e-04
Loss = 1.2489e+00, PNorm = 34.6022, GNorm = 3.1748, lr_0 = 1.3088e-04
Loss = 1.1159e+00, PNorm = 34.6027, GNorm = 3.1077, lr_0 = 1.4559e-04
Loss = 1.2383e+00, PNorm = 34.6032, GNorm = 4.3926, lr_0 = 1.6029e-04
Loss = 1.0026e+00, PNorm = 34.6037, GNorm = 4.4653, lr_0 = 1.7500e-04
Loss = 8.7891e-01, PNorm = 34.6044, GNorm = 2.4398, lr_0 = 1.8971e-04
Loss = 9.9373e-01, PNorm = 34.6058, GNorm = 2.4902, lr_0 = 2.0441e-04
Loss = 1.1079e+00, PNorm = 34.6076, GNorm = 5.1739, lr_0 = 2.1912e-04
Loss = 1.2442e+00, PNorm = 34.6098, GNorm = 4.5095, lr_0 = 2.3382e-04
Loss = 9.5667e-01, PNorm = 34.6088, GNorm = 2.2572, lr_0 = 2.4853e-04
Loss = 9.9684e-01, PNorm = 34.6104, GNorm = 4.4223, lr_0 = 2.6324e-04
Loss = 1.2818e+00, PNorm = 34.6124, GNorm = 3.1191, lr_0 = 2.7794e-04
Loss = 9.4938e-01, PNorm = 34.6150, GNorm = 7.0894, lr_0 = 2.9265e-04
Loss = 8.9219e-01, PNorm = 34.6161, GNorm = 4.3981, lr_0 = 3.0735e-04
Loss = 9.8654e-01, PNorm = 34.6168, GNorm = 2.3125, lr_0 = 3.2206e-04
Loss = 9.7926e-01, PNorm = 34.6191, GNorm = 2.1562, lr_0 = 3.3676e-04
Loss = 1.1530e+00, PNorm = 34.6231, GNorm = 4.5524, lr_0 = 3.5147e-04
Loss = 8.8443e-01, PNorm = 34.6266, GNorm = 3.2937, lr_0 = 3.6618e-04
Loss = 9.4231e-01, PNorm = 34.6325, GNorm = 4.0298, lr_0 = 3.8088e-04
Loss = 9.6042e-01, PNorm = 34.6374, GNorm = 2.3798, lr_0 = 3.9559e-04
Loss = 8.8993e-01, PNorm = 34.6445, GNorm = 2.5443, lr_0 = 4.1029e-04
Loss = 1.0263e+00, PNorm = 34.6487, GNorm = 2.6048, lr_0 = 4.2500e-04
Loss = 9.9517e-01, PNorm = 34.6543, GNorm = 2.8618, lr_0 = 4.3971e-04
Loss = 1.0311e+00, PNorm = 34.6589, GNorm = 1.8317, lr_0 = 4.5441e-04
Loss = 1.1687e+00, PNorm = 34.6651, GNorm = 2.5966, lr_0 = 4.6912e-04
Loss = 1.0136e+00, PNorm = 34.6715, GNorm = 2.9056, lr_0 = 4.8382e-04
Loss = 1.0209e+00, PNorm = 34.6791, GNorm = 2.6912, lr_0 = 4.9853e-04
Loss = 1.0362e+00, PNorm = 34.6942, GNorm = 5.3069, lr_0 = 5.1324e-04
Loss = 9.5199e-01, PNorm = 34.7054, GNorm = 1.8790, lr_0 = 5.2794e-04
Loss = 9.2220e-01, PNorm = 34.7156, GNorm = 9.9430, lr_0 = 5.4265e-04
Validation rmse = 1.024089
Epoch 1
Loss = 8.4048e-01, PNorm = 34.7294, GNorm = 3.4914, lr_0 = 5.5882e-04
Loss = 9.7456e-01, PNorm = 34.7391, GNorm = 2.5409, lr_0 = 5.7353e-04
Loss = 1.0078e+00, PNorm = 34.7482, GNorm = 3.1573, lr_0 = 5.8824e-04
Loss = 9.7243e-01, PNorm = 34.7622, GNorm = 2.2466, lr_0 = 6.0294e-04
Loss = 1.0365e+00, PNorm = 34.7714, GNorm = 2.9085, lr_0 = 6.1765e-04
Loss = 7.5346e-01, PNorm = 34.7880, GNorm = 2.7661, lr_0 = 6.3235e-04
Loss = 8.6632e-01, PNorm = 34.7973, GNorm = 3.2949, lr_0 = 6.4706e-04
Loss = 9.6539e-01, PNorm = 34.8123, GNorm = 4.1011, lr_0 = 6.6176e-04
Loss = 1.0626e+00, PNorm = 34.8256, GNorm = 2.1413, lr_0 = 6.7647e-04
Loss = 8.9853e-01, PNorm = 34.8359, GNorm = 2.6143, lr_0 = 6.9118e-04
Loss = 1.1203e+00, PNorm = 34.8392, GNorm = 2.6210, lr_0 = 7.0588e-04
Loss = 1.0044e+00, PNorm = 34.8513, GNorm = 2.6439, lr_0 = 7.2059e-04
Loss = 1.0904e+00, PNorm = 34.8653, GNorm = 5.6602, lr_0 = 7.3529e-04
Loss = 1.0203e+00, PNorm = 34.8801, GNorm = 2.6575, lr_0 = 7.5000e-04
Loss = 1.1302e+00, PNorm = 34.9019, GNorm = 2.3736, lr_0 = 7.6471e-04
Loss = 9.7610e-01, PNorm = 34.9100, GNorm = 2.6035, lr_0 = 7.7941e-04
Loss = 1.0266e+00, PNorm = 34.9337, GNorm = 9.5216, lr_0 = 7.9412e-04
Loss = 8.7287e-01, PNorm = 34.9466, GNorm = 2.9993, lr_0 = 8.0882e-04
Loss = 1.2345e+00, PNorm = 34.9682, GNorm = 4.6487, lr_0 = 8.2353e-04
Loss = 1.1294e+00, PNorm = 34.9861, GNorm = 3.0241, lr_0 = 8.3824e-04
Loss = 1.2613e+00, PNorm = 35.0085, GNorm = 3.1759, lr_0 = 8.5294e-04
Loss = 9.8804e-01, PNorm = 35.0328, GNorm = 3.1752, lr_0 = 8.6765e-04
Loss = 1.0699e+00, PNorm = 35.0629, GNorm = 2.3504, lr_0 = 8.8235e-04
Loss = 8.6768e-01, PNorm = 35.0913, GNorm = 1.8817, lr_0 = 8.9706e-04
Loss = 7.9804e-01, PNorm = 35.1100, GNorm = 2.2843, lr_0 = 9.1176e-04
Loss = 9.1100e-01, PNorm = 35.1427, GNorm = 2.6528, lr_0 = 9.2647e-04
Loss = 1.0740e+00, PNorm = 35.1620, GNorm = 2.7661, lr_0 = 9.4118e-04
Loss = 9.2992e-01, PNorm = 35.1857, GNorm = 7.6784, lr_0 = 9.5588e-04
Loss = 9.5190e-01, PNorm = 35.2225, GNorm = 5.5175, lr_0 = 9.7059e-04
Loss = 8.1910e-01, PNorm = 35.2444, GNorm = 1.8713, lr_0 = 9.8529e-04
Loss = 9.0684e-01, PNorm = 35.2625, GNorm = 1.6424, lr_0 = 1.0000e-03
Validation rmse = 1.019331
Epoch 2
Loss = 9.2588e-01, PNorm = 35.2850, GNorm = 1.6779, lr_0 = 9.9705e-04
Loss = 1.9838e+00, PNorm = 35.2970, GNorm = 2.6834, lr_0 = 9.9437e-04
Loss = 9.5415e-01, PNorm = 35.3473, GNorm = 2.1208, lr_0 = 9.9170e-04
Loss = 8.7023e-01, PNorm = 35.3656, GNorm = 1.9874, lr_0 = 9.8904e-04
Loss = 9.2276e-01, PNorm = 35.3947, GNorm = 2.1062, lr_0 = 9.8639e-04
Loss = 7.8493e-01, PNorm = 35.4268, GNorm = 1.1719, lr_0 = 9.8374e-04
Loss = 1.0013e+00, PNorm = 35.4486, GNorm = 6.9384, lr_0 = 9.8110e-04
Loss = 1.0667e+00, PNorm = 35.4758, GNorm = 2.2233, lr_0 = 9.7847e-04
Loss = 9.5958e-01, PNorm = 35.5020, GNorm = 2.5326, lr_0 = 9.7584e-04
Loss = 1.0963e+00, PNorm = 35.5172, GNorm = 1.5956, lr_0 = 9.7322e-04
Loss = 9.3628e-01, PNorm = 35.5466, GNorm = 2.0685, lr_0 = 9.7061e-04
Loss = 9.5976e-01, PNorm = 35.5683, GNorm = 4.5127, lr_0 = 9.6801e-04
Loss = 8.4221e-01, PNorm = 35.6031, GNorm = 2.3417, lr_0 = 9.6541e-04
Loss = 8.8552e-01, PNorm = 35.6306, GNorm = 1.7464, lr_0 = 9.6282e-04
Loss = 2.1276e+00, PNorm = 35.6760, GNorm = 2.3450, lr_0 = 9.6023e-04
Loss = 8.0120e-01, PNorm = 35.7048, GNorm = 2.2257, lr_0 = 9.5766e-04
Loss = 7.8494e-01, PNorm = 35.7311, GNorm = 2.5220, lr_0 = 9.5508e-04
Loss = 1.0481e+00, PNorm = 35.7480, GNorm = 3.5057, lr_0 = 9.5252e-04
Loss = 9.9941e-01, PNorm = 35.7644, GNorm = 2.0447, lr_0 = 9.4997e-04
Loss = 1.3789e+00, PNorm = 35.7910, GNorm = 3.4686, lr_0 = 9.4742e-04
