Command line
python /home/andersonxps/anaconda3/envs/lnp_ml/bin/chemprop_train --dataset_type regression --data_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train.csv --features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train_extra_x.csv --data_weights_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train_weights.csv --separate_val_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test.csv --separate_val_features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test_extra_x.csv --separate_test_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test.csv --separate_test_features_path compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test_extra_x.csv --save_dir compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/trained_model_checkpoints --target_columns Experiment_value
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train.csv',
 'data_weights_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train_weights.csv',
 'dataset_type': 'regression',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 30,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': [],
 'features_generator': None,
 'features_only': False,
 'features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/train_extra_x.csv'],
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'ignore_nan_metrics': False,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'mse',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'rmse',
 'metrics': ['rmse'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 3,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quantile_loss_alpha': 0.1,
 'quantiles': [],
 'quiet': False,
 'reaction': False,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/trained_model_checkpoints',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test_extra_x.csv'],
 'separate_test_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test_extra_x.csv'],
 'separate_val_path': 'compare_DL_models/heldout/lion_lnpdb/infer_SL_2020/cv_splits/cv_1/test.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['IL_SMILES'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['Experiment_value'],
 'target_weights': None,
 'task_names': ['Experiment_value'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': True,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 15,298 | train size = 15,298 | val size = 3,469 | test size = 3,469
Fitting scaler
Building model 0
MoleculeModel(
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=433, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=392, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 382,801
Moving model to cuda
Epoch 0
Loss = 1.2850e+00, PNorm = 34.6023, GNorm = 5.0545, lr_0 = 1.1623e-04
Loss = 1.0745e+00, PNorm = 34.6012, GNorm = 2.6016, lr_0 = 1.3098e-04
Loss = 1.2266e+00, PNorm = 34.6013, GNorm = 3.8727, lr_0 = 1.4574e-04
Loss = 9.0011e-01, PNorm = 34.6022, GNorm = 5.6417, lr_0 = 1.6049e-04
Loss = 1.5357e+00, PNorm = 34.6032, GNorm = 67.7733, lr_0 = 1.7525e-04
Loss = 9.7007e-01, PNorm = 34.6054, GNorm = 3.8130, lr_0 = 1.9000e-04
Loss = 1.0488e+00, PNorm = 34.6065, GNorm = 4.7710, lr_0 = 2.0475e-04
Loss = 1.4527e+00, PNorm = 34.6086, GNorm = 4.5496, lr_0 = 2.1951e-04
Loss = 1.0246e+00, PNorm = 34.6106, GNorm = 3.3986, lr_0 = 2.3426e-04
Loss = 9.5800e-01, PNorm = 34.6106, GNorm = 4.3561, lr_0 = 2.4902e-04
Loss = 9.6080e-01, PNorm = 34.6133, GNorm = 4.5187, lr_0 = 2.6377e-04
Loss = 1.1602e+00, PNorm = 34.6132, GNorm = 5.6324, lr_0 = 2.7852e-04
Loss = 1.1306e+00, PNorm = 34.6152, GNorm = 3.5722, lr_0 = 2.9328e-04
Loss = 1.0029e+00, PNorm = 34.6163, GNorm = 3.2037, lr_0 = 3.0803e-04
Loss = 8.6970e-01, PNorm = 34.6186, GNorm = 3.0637, lr_0 = 3.2279e-04
Loss = 9.9232e-01, PNorm = 34.6200, GNorm = 2.0432, lr_0 = 3.3754e-04
Loss = 9.2138e-01, PNorm = 34.6240, GNorm = 2.8846, lr_0 = 3.5230e-04
Loss = 1.0653e+00, PNorm = 34.6271, GNorm = 3.1081, lr_0 = 3.6705e-04
Loss = 8.0341e-01, PNorm = 34.6317, GNorm = 4.1231, lr_0 = 3.8180e-04
Loss = 9.8260e-01, PNorm = 34.6324, GNorm = 2.6462, lr_0 = 3.9656e-04
Loss = 1.0387e+00, PNorm = 34.6357, GNorm = 4.0701, lr_0 = 4.1131e-04
Loss = 1.0814e+00, PNorm = 34.6409, GNorm = 3.7557, lr_0 = 4.2607e-04
Loss = 1.0729e+00, PNorm = 34.6478, GNorm = 2.2300, lr_0 = 4.4082e-04
Loss = 9.9587e-01, PNorm = 34.6523, GNorm = 3.1309, lr_0 = 4.5557e-04
Loss = 1.1743e+00, PNorm = 34.6605, GNorm = 6.5816, lr_0 = 4.7033e-04
Loss = 9.9022e-01, PNorm = 34.6699, GNorm = 2.3754, lr_0 = 4.8508e-04
Loss = 1.0800e+00, PNorm = 34.6728, GNorm = 4.4777, lr_0 = 4.9984e-04
Loss = 9.6967e-01, PNorm = 34.6804, GNorm = 2.9723, lr_0 = 5.1459e-04
Loss = 8.7366e-01, PNorm = 34.6876, GNorm = 3.0684, lr_0 = 5.2934e-04
Loss = 1.0698e+00, PNorm = 34.6965, GNorm = 5.4634, lr_0 = 5.4410e-04
Validation rmse = 1.032427
Epoch 1
Loss = 8.2954e-01, PNorm = 34.7112, GNorm = 2.4116, lr_0 = 5.6033e-04
Loss = 9.2446e-01, PNorm = 34.7224, GNorm = 2.8990, lr_0 = 5.7508e-04
Loss = 9.9243e-01, PNorm = 34.7336, GNorm = 2.4681, lr_0 = 5.8984e-04
Loss = 9.3232e-01, PNorm = 34.7502, GNorm = 2.5535, lr_0 = 6.0459e-04
Loss = 1.0560e+00, PNorm = 34.7611, GNorm = 2.6712, lr_0 = 6.1934e-04
Loss = 9.7149e-01, PNorm = 34.7726, GNorm = 4.5483, lr_0 = 6.3410e-04
Loss = 8.6077e-01, PNorm = 34.7764, GNorm = 2.2889, lr_0 = 6.4885e-04
Loss = 1.0627e+00, PNorm = 34.7853, GNorm = 3.0461, lr_0 = 6.6361e-04
Loss = 9.9158e-01, PNorm = 34.8019, GNorm = 2.1477, lr_0 = 6.7836e-04
Loss = 7.9155e-01, PNorm = 34.8130, GNorm = 3.2841, lr_0 = 6.9311e-04
Loss = 8.8099e-01, PNorm = 34.8254, GNorm = 3.7600, lr_0 = 7.0787e-04
Loss = 9.6270e-01, PNorm = 34.8379, GNorm = 2.4889, lr_0 = 7.2262e-04
Loss = 8.7562e-01, PNorm = 34.8498, GNorm = 3.1943, lr_0 = 7.3738e-04
Loss = 1.1293e+00, PNorm = 34.8683, GNorm = 40.6670, lr_0 = 7.5213e-04
Loss = 1.1413e+00, PNorm = 34.8809, GNorm = 5.8947, lr_0 = 7.6689e-04
Loss = 9.7689e-01, PNorm = 34.9055, GNorm = 2.5854, lr_0 = 7.8164e-04
Loss = 1.0035e+00, PNorm = 34.9197, GNorm = 2.7714, lr_0 = 7.9639e-04
Loss = 9.1590e-01, PNorm = 34.9422, GNorm = 1.8930, lr_0 = 8.1115e-04
Loss = 1.1834e+00, PNorm = 34.9604, GNorm = 71.7110, lr_0 = 8.2590e-04
Loss = 9.5147e-01, PNorm = 34.9681, GNorm = 2.3602, lr_0 = 8.4066e-04
Loss = 9.6217e-01, PNorm = 34.9867, GNorm = 2.9242, lr_0 = 8.5541e-04
Loss = 1.0240e+00, PNorm = 35.0132, GNorm = 2.3735, lr_0 = 8.7016e-04
Loss = 1.1403e+00, PNorm = 35.0379, GNorm = 2.7101, lr_0 = 8.8492e-04
Loss = 7.5370e-01, PNorm = 35.0618, GNorm = 3.0186, lr_0 = 8.9967e-04
Loss = 9.7406e-01, PNorm = 35.0886, GNorm = 1.7944, lr_0 = 9.1443e-04
Loss = 1.1582e+00, PNorm = 35.1046, GNorm = 3.9547, lr_0 = 9.2918e-04
Loss = 9.7609e-01, PNorm = 35.1407, GNorm = 4.0031, lr_0 = 9.4393e-04
Loss = 1.0454e+00, PNorm = 35.1717, GNorm = 2.9370, lr_0 = 9.5869e-04
Loss = 9.7306e-01, PNorm = 35.2000, GNorm = 3.6173, lr_0 = 9.7344e-04
Loss = 1.3064e+00, PNorm = 35.2304, GNorm = 3.3517, lr_0 = 9.8820e-04
Loss = 8.6808e-01, PNorm = 35.2358, GNorm = 2.1282, lr_0 = 9.9946e-04
Validation rmse = 1.041907
Epoch 2
Loss = 2.4956e+00, PNorm = 35.2795, GNorm = 1.9440, lr_0 = 9.9677e-04
Loss = 1.6499e+00, PNorm = 35.3159, GNorm = 12.7782, lr_0 = 9.9409e-04
Loss = 1.3118e+00, PNorm = 35.3602, GNorm = 1.6975, lr_0 = 9.9141e-04
Loss = 1.0080e+00, PNorm = 35.3945, GNorm = 2.3688, lr_0 = 9.8874e-04
Loss = 9.4907e-01, PNorm = 35.4328, GNorm = 2.5441, lr_0 = 9.8608e-04
Loss = 1.3532e+00, PNorm = 35.4626, GNorm = 1.4187, lr_0 = 9.8342e-04
Loss = 9.9343e-01, PNorm = 35.4900, GNorm = 3.4481, lr_0 = 9.8077e-04
Loss = 9.0852e-01, PNorm = 35.5195, GNorm = 3.5199, lr_0 = 9.7813e-04
Loss = 8.8958e-01, PNorm = 35.5548, GNorm = 2.0829, lr_0 = 9.7550e-04
Loss = 8.6837e-01, PNorm = 35.5609, GNorm = 1.5988, lr_0 = 9.7287e-04
Loss = 8.7811e-01, PNorm = 35.5840, GNorm = 1.8732, lr_0 = 9.7025e-04
Loss = 1.0040e+00, PNorm = 35.6080, GNorm = 2.2668, lr_0 = 9.6764e-04
Loss = 7.7857e-01, PNorm = 35.6447, GNorm = 1.5558, lr_0 = 9.6504e-04
Loss = 1.0196e+00, PNorm = 35.6609, GNorm = 1.4115, lr_0 = 9.6244e-04
Loss = 1.0839e+00, PNorm = 35.7012, GNorm = 2.2316, lr_0 = 9.5985e-04
Loss = 9.9720e-01, PNorm = 35.7249, GNorm = 4.1740, lr_0 = 9.5726e-04
Loss = 8.5583e-01, PNorm = 35.7611, GNorm = 3.4605, lr_0 = 9.5468e-04
Loss = 9.8717e-01, PNorm = 35.7931, GNorm = 2.7191, lr_0 = 9.5211e-04
Loss = 2.2091e+00, PNorm = 35.8092, GNorm = 64.1030, lr_0 = 9.4955e-04
Loss = 9.4271e-01, PNorm = 35.8603, GNorm = 1.5096, lr_0 = 9.4699e-04
Loss = 1.0885e+00, PNorm = 35.8764, GNorm = 1.8054, lr_0 = 9.4444e-04
Loss = 9.2043e-01, PNorm = 35.9265, GNorm = 3.0642, lr_0 = 9.4190e-04
Loss = 9.6961e-01, PNorm = 35.9342, GNorm = 3.2813, lr_0 = 9.3936e-04
Loss = 1.1147e+00, PNorm = 35.9638, GNorm = 2.3812, lr_0 = 9.3683e-04
Loss = 8.8647e-01, PNorm = 35.9907, GNorm = 1.9508, lr_0 = 9.3431e-04
Loss = 8.8974e-01, PNorm = 35.9962, GNorm = 2.1814, lr_0 = 9.3180e-04
Loss = 8.1085e-01, PNorm = 36.0197, GNorm = 3.6201, lr_0 = 9.2929e-04
Loss = 1.0548e+00, PNorm = 36.0481, GNorm = 1.5519, lr_0 = 9.2678e-04
Loss = 1.1239e+00, PNorm = 36.0874, GNorm = 1.9668, lr_0 = 9.2429e-04
Loss = 9.1686e-01, PNorm = 36.1063, GNorm = 2.4302, lr_0 = 9.2180e-04
Validation rmse = 1.010474
Epoch 3
Loss = 7.7407e-01, PNorm = 36.1394, GNorm = 2.1207, lr_0 = 9.1932e-04
Loss = 9.3919e-01, PNorm = 36.1741, GNorm = 2.3873, lr_0 = 9.1684e-04
Loss = 9.1384e-01, PNorm = 36.1950, GNorm = 2.5739, lr_0 = 9.1437e-04
Loss = 1.0659e+00, PNorm = 36.2383, GNorm = 4.6530, lr_0 = 9.1191e-04
Loss = 9.6512e-01, PNorm = 36.2456, GNorm = 3.2811, lr_0 = 9.0946e-04
Loss = 8.9610e-01, PNorm = 36.2957, GNorm = 1.9578, lr_0 = 9.0701e-04
Loss = 7.2912e-01, PNorm = 36.3437, GNorm = 1.7136, lr_0 = 9.0457e-04
Loss = 7.8858e-01, PNorm = 36.3758, GNorm = 1.3267, lr_0 = 9.0213e-04
Loss = 8.2940e-01, PNorm = 36.3934, GNorm = 2.6835, lr_0 = 8.9970e-04
Loss = 8.6216e-01, PNorm = 36.4140, GNorm = 2.5164, lr_0 = 8.9728e-04
Loss = 8.9652e-01, PNorm = 36.4400, GNorm = 2.7063, lr_0 = 8.9486e-04
Loss = 9.3358e-01, PNorm = 36.4838, GNorm = 1.0181, lr_0 = 8.9245e-04
Loss = 8.5809e-01, PNorm = 36.5067, GNorm = 1.6654, lr_0 = 8.9005e-04
Loss = 1.3119e+00, PNorm = 36.5435, GNorm = 2.9630, lr_0 = 8.8765e-04
Loss = 1.4483e+00, PNorm = 36.5716, GNorm = 2.8108, lr_0 = 8.8526e-04
Loss = 1.5276e+00, PNorm = 36.6140, GNorm = 1.9362, lr_0 = 8.8288e-04
Loss = 1.1961e+00, PNorm = 36.6670, GNorm = 2.6901, lr_0 = 8.8050e-04
Loss = 1.0016e+00, PNorm = 36.7038, GNorm = 2.6987, lr_0 = 8.7813e-04
Loss = 7.6044e-01, PNorm = 36.7510, GNorm = 3.2769, lr_0 = 8.7577e-04
Loss = 1.5140e+00, PNorm = 36.7754, GNorm = 9.7959, lr_0 = 8.7341e-04
Loss = 8.1323e-01, PNorm = 36.8011, GNorm = 2.2917, lr_0 = 8.7106e-04
Loss = 1.2324e+00, PNorm = 36.8441, GNorm = 2.6182, lr_0 = 8.6871e-04
Loss = 9.1041e-01, PNorm = 36.8787, GNorm = 1.7115, lr_0 = 8.6637e-04
Loss = 9.3919e-01, PNorm = 36.9253, GNorm = 1.8372, lr_0 = 8.6404e-04
Loss = 8.7541e-01, PNorm = 36.9625, GNorm = 2.2306, lr_0 = 8.6171e-04
Loss = 7.7246e-01, PNorm = 37.0188, GNorm = 2.9311, lr_0 = 8.5939e-04
Loss = 9.5823e-01, PNorm = 37.0469, GNorm = 1.8262, lr_0 = 8.5708e-04
Loss = 9.7569e-01, PNorm = 37.0759, GNorm = 2.9296, lr_0 = 8.5477e-04
Loss = 8.3770e-01, PNorm = 37.1179, GNorm = 3.4095, lr_0 = 8.5247e-04
Loss = 8.9529e-01, PNorm = 37.1688, GNorm = 1.9009, lr_0 = 8.5017e-04
Loss = 8.0899e-01, PNorm = 37.2079, GNorm = 1.6943, lr_0 = 8.4789e-04
Validation rmse = 0.995666
Epoch 4
Loss = 8.9021e-01, PNorm = 37.2727, GNorm = 1.4477, lr_0 = 8.4560e-04
Loss = 8.1875e-01, PNorm = 37.3250, GNorm = 2.0288, lr_0 = 8.4333e-04
Loss = 8.9322e-01, PNorm = 37.3705, GNorm = 1.4845, lr_0 = 8.4105e-04
Loss = 7.0080e-01, PNorm = 37.4247, GNorm = 1.4769, lr_0 = 8.3879e-04
Loss = 1.0140e+00, PNorm = 37.4693, GNorm = 2.0919, lr_0 = 8.3653e-04
Loss = 8.1473e-01, PNorm = 37.5249, GNorm = 1.2981, lr_0 = 8.3428e-04
