"IL_SMILES","Experiment_value"
"CCCCCCCCCCCCN(CC#CCCCCC(=O)OCC(CCCCCCCCCCCC)CCCCCCCCCC)CCO",0.905362182
"CCCCCCCCCCCCN(CC#CCCCCC(=O)N(CCCCCCC)CCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCN(CC#CCCCCC(=O)N(CCCCCCCC)CCCCCCCC)CCO",1.147410391
"CCCCCCCCCCCCN(CC#CCCCCC(=O)N(CCCCCCCCCCC)CCCCCCCCCCC)CCO",-1.083308655
"CCCCCCCCCCCCN(CC#CCCCCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC)CCO",-1.083308655
"CCCCCCCCCCCCN(CC#CCCCC(=O)N(CCCCCCCC)CCCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCCCC)CCO",0.532907021
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCCCCC)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCCCCCC)CCO",1.55672867
"CCCCCCCCCCCCCN(CC#CCCCCCCCCCCCCCCCC)CCO",1.147410391
"CCCCCCCCCCCCCN(CC#CCCCOCCCCCCCCCCC)CCO",-1.083308655
"CCCCCCCCCCCCCN(CC#CCCCOCCCCCCCCC=C)CCO",0.376279539
"CCCCCCCCCCCCCN(CC#CCCCOC/C=C\CCCCCC)CCO",-1.083308655
"CCCCCCCCCCCCCN(CC#CCCCOCC(CCCCCCCCCCCC)CCCCCCCCCC)CCO",1.716613297
"CCCCCCCCCCCCCN(CC#CCCCCC(=O)OCCCCCCCCCCCC)CCO",0.717064053
"CCCCCCCCCCCCCN(CC#CCCCCC(=O)OCCCCCCCCC=C)CCO",-0.596779256
"CCCCCCCCCCCCCN(CC#CCCCCC(=O)OCCCCCCCCCC=C)CCO",-0.596779256
