Command line
python /home/andersonxps/anaconda3/envs/lnp_ml/bin/chemprop_train --dataset_type regression --data_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train.csv --features_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train_extra_x.csv --data_weights_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train_weights.csv --separate_val_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test.csv --separate_val_features_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test_extra_x.csv --separate_test_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test.csv --separate_test_features_path compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test_extra_x.csv --save_dir compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/trained_model_checkpoints --target_columns Experiment_value
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': 'compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train.csv',
 'data_weights_path': 'compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train_weights.csv',
 'dataset_type': 'regression',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 30,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': [],
 'features_generator': None,
 'features_only': False,
 'features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/train_extra_x.csv'],
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'ignore_nan_metrics': False,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'mse',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'rmse',
 'metrics': ['rmse'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 3,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quantile_loss_alpha': 0.1,
 'quantiles': [],
 'quiet': False,
 'reaction': False,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': 'compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/trained_model_checkpoints',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test_extra_x.csv'],
 'separate_test_path': 'compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': ['compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test_extra_x.csv'],
 'separate_val_path': 'compare_DL_models/heldout/lion_lnpdb/infer_BL_2023/cv_splits/cv_2/test.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['IL_SMILES'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['Experiment_value'],
 'target_weights': None,
 'task_names': ['Experiment_value'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': True,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 15,189 | train size = 15,189 | val size = 2,896 | test size = 2,896
Fitting scaler
Building model 0
MoleculeModel(
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=433, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=392, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 382,801
Moving model to cuda
Epoch 0
Loss = 1.3441e+00, PNorm = 34.6031, GNorm = 6.6847, lr_0 = 1.1634e-04
Loss = 1.1322e+00, PNorm = 34.6015, GNorm = 4.1832, lr_0 = 1.3119e-04
Loss = 1.2754e+00, PNorm = 34.6015, GNorm = 5.9474, lr_0 = 1.4604e-04
Loss = 1.1548e+00, PNorm = 34.6023, GNorm = 3.4722, lr_0 = 1.6089e-04
Loss = 1.1448e+00, PNorm = 34.6034, GNorm = 2.0833, lr_0 = 1.7574e-04
Loss = 1.2692e+00, PNorm = 34.6040, GNorm = 4.0806, lr_0 = 1.9059e-04
Loss = 1.0705e+00, PNorm = 34.6052, GNorm = 4.2646, lr_0 = 2.0545e-04
Loss = 9.7832e-01, PNorm = 34.6064, GNorm = 3.9350, lr_0 = 2.2030e-04
Loss = 9.9717e-01, PNorm = 34.6082, GNorm = 3.9238, lr_0 = 2.3515e-04
Loss = 8.7976e-01, PNorm = 34.6109, GNorm = 6.0881, lr_0 = 2.5000e-04
Loss = 8.5500e-01, PNorm = 34.6127, GNorm = 3.2318, lr_0 = 2.6485e-04
Loss = 1.1823e+00, PNorm = 34.6144, GNorm = 2.8191, lr_0 = 2.7970e-04
Loss = 1.0196e+00, PNorm = 34.6161, GNorm = 6.2678, lr_0 = 2.9455e-04
Loss = 9.3635e-01, PNorm = 34.6178, GNorm = 5.5881, lr_0 = 3.0941e-04
Loss = 1.0262e+00, PNorm = 34.6199, GNorm = 3.2727, lr_0 = 3.2426e-04
Loss = 8.6909e-01, PNorm = 34.6229, GNorm = 3.6061, lr_0 = 3.3911e-04
Loss = 1.0856e+00, PNorm = 34.6250, GNorm = 2.9070, lr_0 = 3.5396e-04
Loss = 8.6538e-01, PNorm = 34.6277, GNorm = 3.0260, lr_0 = 3.6881e-04
Loss = 1.0601e+00, PNorm = 34.6319, GNorm = 2.2267, lr_0 = 3.8366e-04
Loss = 9.8209e-01, PNorm = 34.6365, GNorm = 2.2781, lr_0 = 3.9851e-04
Loss = 9.7214e-01, PNorm = 34.6423, GNorm = 2.4218, lr_0 = 4.1337e-04
Loss = 1.1247e+00, PNorm = 34.6489, GNorm = 3.4730, lr_0 = 4.2822e-04
Loss = 1.0198e+00, PNorm = 34.6552, GNorm = 2.6370, lr_0 = 4.4307e-04
Loss = 1.1158e+00, PNorm = 34.6623, GNorm = 8.4361, lr_0 = 4.5792e-04
Loss = 9.0952e-01, PNorm = 34.6693, GNorm = 3.3031, lr_0 = 4.7277e-04
Loss = 9.4494e-01, PNorm = 34.6761, GNorm = 2.8562, lr_0 = 4.8762e-04
Loss = 1.0907e+00, PNorm = 34.6887, GNorm = 3.4171, lr_0 = 5.0248e-04
Loss = 9.7569e-01, PNorm = 34.7025, GNorm = 3.5267, lr_0 = 5.1733e-04
Loss = 8.9613e-01, PNorm = 34.7099, GNorm = 6.9918, lr_0 = 5.3218e-04
Loss = 8.3082e-01, PNorm = 34.7232, GNorm = 2.8133, lr_0 = 5.4703e-04
Validation rmse = 1.019789
Epoch 1
Loss = 9.0589e-01, PNorm = 34.7391, GNorm = 2.7609, lr_0 = 5.6337e-04
Loss = 9.2755e-01, PNorm = 34.7521, GNorm = 2.4582, lr_0 = 5.7822e-04
Loss = 8.7788e-01, PNorm = 34.7663, GNorm = 2.6290, lr_0 = 5.9307e-04
Loss = 8.9735e-01, PNorm = 34.7780, GNorm = 3.4260, lr_0 = 6.0792e-04
Loss = 1.0653e+00, PNorm = 34.7832, GNorm = 3.4105, lr_0 = 6.2277e-04
Loss = 8.5445e-01, PNorm = 34.7973, GNorm = 2.0749, lr_0 = 6.3762e-04
Loss = 1.0243e+00, PNorm = 34.8071, GNorm = 3.1453, lr_0 = 6.5248e-04
Loss = 9.1475e-01, PNorm = 34.8191, GNorm = 1.8947, lr_0 = 6.6733e-04
Loss = 8.8536e-01, PNorm = 34.8341, GNorm = 3.3190, lr_0 = 6.8218e-04
Loss = 1.1109e+00, PNorm = 34.8457, GNorm = 3.2168, lr_0 = 6.9703e-04
Loss = 1.0866e+00, PNorm = 34.8614, GNorm = 2.3012, lr_0 = 7.1188e-04
Loss = 8.3311e-01, PNorm = 34.8762, GNorm = 2.9132, lr_0 = 7.2673e-04
Loss = 9.3048e-01, PNorm = 34.8918, GNorm = 1.7877, lr_0 = 7.4158e-04
Loss = 1.0458e+00, PNorm = 34.9135, GNorm = 2.1141, lr_0 = 7.5644e-04
Loss = 9.4892e-01, PNorm = 34.9321, GNorm = 6.6449, lr_0 = 7.7129e-04
Loss = 9.7057e-01, PNorm = 34.9594, GNorm = 2.8377, lr_0 = 7.8614e-04
Loss = 9.5777e-01, PNorm = 34.9731, GNorm = 2.6790, lr_0 = 8.0099e-04
Loss = 1.3702e+00, PNorm = 34.9990, GNorm = 3.0997, lr_0 = 8.1584e-04
Loss = 9.7310e-01, PNorm = 35.0127, GNorm = 2.8758, lr_0 = 8.3069e-04
Loss = 9.6449e-01, PNorm = 35.0377, GNorm = 6.9333, lr_0 = 8.4554e-04
Loss = 1.2981e+00, PNorm = 35.0457, GNorm = 2.5052, lr_0 = 8.6040e-04
Loss = 1.0691e+00, PNorm = 35.0689, GNorm = 1.8255, lr_0 = 8.7525e-04
Loss = 1.0610e+00, PNorm = 35.0933, GNorm = 2.9839, lr_0 = 8.9010e-04
Loss = 7.6701e-01, PNorm = 35.1214, GNorm = 2.3575, lr_0 = 9.0495e-04
Loss = 9.1930e-01, PNorm = 35.1441, GNorm = 15.7345, lr_0 = 9.1980e-04
Loss = 9.9237e-01, PNorm = 35.1742, GNorm = 3.0418, lr_0 = 9.3465e-04
Loss = 1.0332e+00, PNorm = 35.1960, GNorm = 2.4735, lr_0 = 9.4950e-04
Loss = 9.6683e-01, PNorm = 35.2167, GNorm = 1.9088, lr_0 = 9.6436e-04
Loss = 9.5403e-01, PNorm = 35.2308, GNorm = 2.0952, lr_0 = 9.7921e-04
Loss = 9.7757e-01, PNorm = 35.2602, GNorm = 7.1169, lr_0 = 9.9406e-04
Validation rmse = 1.004020
Epoch 2
Loss = 9.7870e-01, PNorm = 35.2748, GNorm = 2.3505, lr_0 = 9.9837e-04
Loss = 2.0010e+00, PNorm = 35.3019, GNorm = 3.7415, lr_0 = 9.9567e-04
Loss = 7.8972e-01, PNorm = 35.3398, GNorm = 2.4698, lr_0 = 9.9297e-04
Loss = 1.0307e+00, PNorm = 35.3667, GNorm = 3.0736, lr_0 = 9.9028e-04
Loss = 8.1535e-01, PNorm = 35.3919, GNorm = 1.8583, lr_0 = 9.8759e-04
Loss = 9.5601e-01, PNorm = 35.3994, GNorm = 1.9409, lr_0 = 9.8492e-04
Loss = 9.5657e-01, PNorm = 35.4186, GNorm = 2.7218, lr_0 = 9.8225e-04
Loss = 9.6366e-01, PNorm = 35.4523, GNorm = 1.9072, lr_0 = 9.7958e-04
